Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_A10 ST-HSC SC3_CV0.csv;138833,4844;95837,71875;23769,50195;56,218636;617,952393;232,496674;10402,88379;25,036615;1904,770264;584,122009;337,860657;5,93487;181,114899;A10;SC3;CV;0;ST-HSC;24h
export_A10 ST-HSC SC3_VC0.csv;100387,4531;74383;9381,631836;902,713745;173,740997;128,101639;23591,35742;-153,093689;-11,903639;6617,500488;210,877701;5,900828;125,651703;A10;SC3;VC;0;ST-HSC;24h
export_A11 HSC SC3_CF0.csv;103834,7266;79074,04688;23447,56836;2337,264648;121,778053;-1,955213;51,090351;252,375992;53,559303;-20,452351;197,592834;4,298104;142,539352;A11;SC3;CF;0;HSC;24h
export_A11 HSC SC3_CV1.csv.1;121769,875;66643,07031;21578,73047;508,677582;145,386749;-32,538658;9519,720703;171,665009;504,463348;84,551193;233,114456;5,877931;96,179077;A11;SC3;CV;1;HSC;24h
export_A11 HSC SC3_CV1.csv.2;120712,4453;74148,9375;20664,12109;1126,792236;199,580887;161,291779;9211,856445;90,54155;496,891449;89,821815;406,409302;5,854536;98,111137;A11;SC3;CV;1;HSC;24h
export_A12 HSC SC3_CV0.csv;106794,1328;66707,6875;26895,2793;831,708618;302,025177;184,494934;12920,56445;-65,274651;104,265541;4036,396484;355,89978;6,039369;68,841797;A12;SC3;CV;0;HSC;24h
export_A12 HSC SC3_VC0.csv;97004,97656;52545,99609;12137,87598;519,846863;79,562469;81,639488;30771,61523;194,991486;400,330658;161,541;217,408554;6,061526;201,298843;A12;SC3;VC;0;HSC;24h
export_A2 MPP SC2_CV0.csv;119478,9609;84324,25;29401,83789;71,25679;787,555298;355,041412;13182,62598;167,876602;759,693054;430,429504;734,14386;6,072899;32,879116;A2;SC2;CV;0;MPP;24h
export_A3 ST-HSC SC2_CF0.csv;109235,4531;76312,00781;32090,27148;168,175308;184,32222;123,287804;55,265217;128,301224;952,605835;197,893051;334,833496;4,418587;155,435791;A3;SC2;CF;0;ST-HSC;24h
export_A3 ST-HSC SC2_VC0.csv;140785,7813;77248,17969;11270,24121;114,845909;608,203613;137,825836;28646,85742;50,483795;1821,935669;409,043304;588,41687;6,016779;42,32896;A3;SC2;VC;0;ST-HSC;24h
export_A3 ST-HSC SC2_Vi0.csv;107319,3672;51666,42969;0,953281;-14,640567;424,387451;0,955741;29074,51563;102,084213;485,860748;1413,61499;351,356995;3,141487;193,041473;A3;SC2;Vi;0;ST-HSC;24h
export_A4 ST-HSC SC2_CF0.csv;123964,7422;79440,22656;37102,40234;480,292847;204,885254;154,27066;26,142864;70,879051;757,083618;441,849945;503,382813;4,233275;154,360046;A4;SC2;CF;0;ST-HSC;24h
export_A4 ST-HSC SC2_CV0.csv;112857,4141;58127,35938;23314,27539;23,099194;263,86911;669,144897;10102,16797;253,11322;1509,465088;305,499573;603,122437;5,919924;110,88372;A4;SC2;CV;0;ST-HSC;24h
export_A5 HSC SC2_CF0.csv;82937,72656;42251,98047;23903,875;1033,326538;175,989197;197,316956;15,23701;-55,971058;18,730434;2848,793457;194,016983;3,932481;99,978188;A5;SC2;CF;0;HSC;24h
export_A5 HSC SC2_CV0.csv;104955,1328;77569,02344;24204,48438;1463,846558;77,670319;84,019722;10964,97461;73,40332;202,738998;172,914917;221,740829;5,956599;126,944473;A5;SC2;CV;0;HSC;24h
export_A5 HSC SC2_VC0.csv;135651,8125;86622,97656;8509,807617;452,408813;103,835274;365,636047;16513,625;118,255058;625,733765;45,25766;339,636505;5,761338;39,290043;A5;SC2;VC;0;HSC;24h
export_A5 HSC SC2_Vi1.csv.1;129796,5;80491,875;3,340284;51,763443;147,941544;868,192444;17555,28125;-48,363365;1759,603882;288,092499;793,287598;3,37162;132,466354;A5;SC2;Vi;1;HSC;24h
export_A5 HSC SC2_Vi1.csv.2;133982,0781;77866,52344;2,101358;128,075882;244,504761;1315,560425;16783,83789;435,689514;2689,956787;143,24324;822,777527;3,215491;198,048584;A5;SC2;Vi;1;HSC;24h
export_A6 HSC SC2_VC0.csv;131847,875;88543,30469;9154,632813;1819,060669;46,189178;109,065529;21768,35547;21,610323;483,759705;84,070473;335,711914;5,868609;95,890594;A6;SC2;VC;0;HSC;24h
export_A7 MPP SC3_CF0.csv;107853,4141;53202,50781;37461,19922;295,106567;211,497757;189,003326;28,10656;-6,387035;337,059021;1067,166504;334,737854;4,258472;9,407719;A7;SC3;CF;0;MPP;24h
export_A7 MPP SC3_CF1.csv;109489,4297;60438,52734;18772,08398;264,646149;2067,592285;87,341454;46,727379;161,599503;1570,725952;1195,765381;284,25769;4,202395;66,385582;A7;SC3;CF;1;MPP;24h
export_A7 MPP SC3_VC0.csv;111761,2266;71977,46875;9589,25;50,568382;2295,210205;426,554138;26973,63281;-120,927528;1022,289307;4172,489746;241,351578;5,948694;162,763443;A7;SC3;VC;0;MPP;24h
export_A7 MPP SC3_Vi0.csv;109648,4063;63841,09766;2,388801;325,812378;2093,602539;136,277451;25282,54297;-86,572914;39,784344;3533,985596;290,805695;3,380678;194,298676;A7;SC3;Vi;0;MPP;24h
export_A7 MPP SC3_Vi1.csv.1;136396,6875;87830,29688;0,371994;154,666351;354,522186;2777,905518;15975,94922;194,190918;1654,837646;187,414215;268,055878;2,668623;141,963715;A7;SC3;Vi;1;MPP;24h
export_A7 MPP SC3_Vi1.csv.2;144125,8281;102202,7266;1,652904;111,152824;609,326843;2025,491699;15781,15332;202,329041;2224,706543;135,744904;395,974945;3,122857;169,033066;A7;SC3;Vi;1;MPP;24h
export_A8 MPP SC3_CF1.csv.1;121627,7969;89154,76563;15393,39063;31,646711;707,903137;908,355591;84,034271;59,274178;2383,564209;161,061813;414,522797;4,321689;111,989105;A8;SC3;CF;1;MPP;24h
export_A8 MPP SC3_CF1.csv.2;114139,3359;78406,75781;15120,02344;77,390213;581,063843;634,091125;65,617218;42,535122;2820,3396;234,668884;492,64389;4,240215;207,80751;A8;SC3;CF;1;MPP;24h
export_A8 MPP SC3_CV1.csv.1;105117,5156;50937,625;21439,03711;195,122101;215,849396;108,204491;9450,979492;-37,294861;1685,611206;422,661407;290,37793;5,873711;119,562531;A8;SC3;CV;1;MPP;24h
export_A8 MPP SC3_CV1.csv.2;102761,4453;64875,80078;20388,23242;197,255539;231,632919;178,482285;8354,703125;85,176208;2111,364258;289,237122;379,495667;5,820415;189,476639;A8;SC3;CV;1;MPP;24h
export_A9 ST-HSC SC3_VC0.csv;142635,7031;88524,61719;8957,703125;292,273743;126,218964;51,498081;25687,76172;176,793976;3092,846191;312,857544;402,547302;5,912772;87,593155;A9;SC3;VC;0;ST-HSC;24h
